reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4e25113b-df38-4a44-8a6f-1cb94ef0ce6f,Henni - Admin,https://play-lh.googleusercontent.com/a-/ALV-UjW45IESBretfQnWzmQcdZR3Or26WCouFxN6bf-avgr2XCk3KcQ,awalnya coba yg tulisan daftar di sini utk yg blm punya akun. berapa kali daftar pas verifikasi wajah gk bisa. ternyata di kasih tau kk spupu awalnya pilih aja masuk sebagai tamu. gausah login,4,2,2.2.1,2025-01-01 13:49:48,,,2.2.1
d5450ae1-372c-4a05-8273-0c9d457d8a0d,Ary Permata Hayatie,https://play-lh.googleusercontent.com/a-/ALV-UjUEu17c9glHv9pidPHBzTzXEdnckKaMkwvZ_Gx1kyhfStHiyJI,"1 januari 2025 mau daftar masuk ikn di apk ini tapi super sulit error wajah harus nunggu 12 jam hey saya mau perginya sekarang malah di suruh nungguin 12 jam gila, sediakan konter offline aja udah klw belum siap ver. Online",1,5,2.2.1,2025-01-01 02:54:45,,,2.2.1
24b872b4-0a2d-467b-8c7a-e54ca0d9dc86,Yoga Thahir,https://play-lh.googleusercontent.com/a/ACg8ocKECkWRk2fg-yrrAyY5Zub_NL0w4j8iws2Ytslac8sWWqT_nA=mo,"Sudah login namun ketika masukan no telepon selalu tidak bisa masuk, padahal sudah sesuai dengan instruksi kode negara (+62) tetap aja cara masukan salah",3,0,2.2.1,2025-01-08 03:44:11,,,2.2.1
1633a58f-c232-4116-bae7-eb070eaf8a5a,Kerina Masda,https://play-lh.googleusercontent.com/a-/ALV-UjWMGhWAwMJ8nfyRKvh_oXlrO-zqCnK-rSCkKbLVhLYouM1dhH-NhQ,"Tolong untuk verifikasi wajah diperbaiki, masa udah bener fotonya Masi aja salah dan harus nunggu 12 jam ! Tolong banget diperhatiin yang kek gini",1,1,2.2.1,2024-12-28 00:30:58,,,2.2.1
2bf57da4-d7e3-4a7b-a317-d268ec87a8c5,Defi Rahmawati Anggraeni,https://play-lh.googleusercontent.com/a-/ALV-UjVNlrcVZ05o-mrNCJUHupFv0y11XPucNEE4rStfy1evnhIjYWg,"sudah berulang kali daftar tapi tetap tidak berhasil dikarenakan terdeteksi menggunakan gambar palsu padahal real human dan sudah dicoba berbagai cara. teman saya sudah berhasil login tapi tidak bisa memesan tiket, bagaimana ya ini? terlalu banyak bug, sekelas OIKN masa begini sih. tolong dong perbaiki aplikasinyaaaaaaa",1,28,2.0.10,2024-11-16 00:16:35,,,2.0.10
20cf3fc8-77b2-4651-a8cc-4741bed20d3c,Romy Syahrial,https://play-lh.googleusercontent.com/a-/ALV-UjXCkqq-zrw87eb4RIIfKIvtOA9IkYAsNmTun_zHcH5M_DW13BOu,"Yg mau keliling IKN tetap instal aplikasi ini, nggk usah daftar tapi pilih ""Masuk sebagai tamu"", pilih Kunjungi Nusantara, pilih tanggalx, pilih jam yg tersedia, pilih registrasi, isi data yg diperlukan jumlah pengunjung (nama, email yg penting) nanti dikirim barcode k email perwakilan, terus tukarkan ke petugas Otorita di Rest Area IKN, nanti dikasih nomor antrian oleh petugas, tunggu nomor antrian dpanggil petugas, dan akan diantarkan dengan BUS ke dalam.",5,50,2.2.1,2025-01-08 03:23:58,,,2.2.1
474528f1-5506-4e9b-a3d7-34fc8273cef3,Denny Damara Official,https://play-lh.googleusercontent.com/a-/ALV-UjWRiuN1lKi5DRG-gZRMPmaP6HGxobmyDONtK5bcGAdmLMF3Hc6Y,"Bagus aplikasi, bisa untuk mengetahui lebih jauh informasi di daerah ikn, tapi tolong untuk ui nya di perhatikan lagi untuk di hp android, karna masih banyak detail² kecil yang harus diperbaiki di os android, seperti bagian status bar yang seharus nya mengikuti latar aplikasi nya, dan ikon fitur nya tolong diperhatikan lagi ya, dan untuk tambahan, kalau bisa bagian cuaca nya ketika di pilih langsung terlihat informasi yg lainnya juga, jadi gak hanya terlihat cuaca saja",5,29,2.0.1,2024-08-18 01:36:44,,,2.0.1
1af555cd-b98b-45d3-9333-2ab8df4f59db,Henry Prawira Mangiri,https://play-lh.googleusercontent.com/a/ACg8ocIOwofDi3AjCORuWBRCpQTYqpP_j-ZJiZD9nR-Nt4moA-O_Qg=mo,"Aplikasinya menyulitkan untuk registrasi akun. Pada saat bagian pengambilan foto selalu error, terdeteksi gambar palsu, padahal sudah selfie dan tidak memakai aksesoris, dan mengikuti ketentuan sesuai penjelasan. Mesti menunggu 12 jam lagi untuk bisa registrasi dan diulang dari awal. Mohon diperbaiki teknisnya. Aplikasi IKN harusnya jadi role model untuk aplikasi lainnya. Terima kasih",1,11,2.0.10,2024-10-17 16:45:36,,,2.0.10
9bc2944a-0090-4716-8058-ba201e86c68b,ubay arch,https://play-lh.googleusercontent.com/a-/ALV-UjXqyoE-b8dMSG1Nu2mQ-42iaPY0F0d_LJRy09spaFP8xsfyOMsD,"Bintang 1, supaya jadi perhatian Daftar susah, semua sudah benar, pas foto verifikasi katanya tanggal lahir salah, hadeuh, trus katanya muka gak sesuai, giliran sudah berhasil memesan tiketpun susah. Gak bisa di klik samsek u/tanggal yg belum penuh. . Tolong di ganti aja yg bikin aplikasinya,",1,18,2.0.10,2024-09-29 10:51:59,,,2.0.10
1b083b25-4e61-439f-a9d7-359fce293651,Gratcia Fernanda Anna Maria Rodricgues Kakambong,https://play-lh.googleusercontent.com/a-/ALV-UjUI3Hgz-EBF7nHNxD-B6T4zjdShMAnCTZuLHJMBTBNQpMuY-Lc,Lagi mau daftar malah kendala foto. Sudah di ulang gak bisa sampai harus menunggu 12 jam lagi. Mohon di perbaiki aplikasinya. Terima kasih.,1,1,2.2.1,2024-12-28 00:32:35,,,2.2.1
a2ab09f0-3ef1-4521-b397-569aa0c8d519,Indah N,https://play-lh.googleusercontent.com/a/ACg8ocJ_SWKZv5Bo6-RoeDdDEKOwZyzZ3PrGqk0tSnFLumjzF5geVQ=mo,"Sulit saat mau upload foto, kode OTP juga tidak langsung terkirim ke email",1,2,2.2.1,2024-12-27 06:06:06,,,2.2.1
0c0d6937-8560-47db-be9c-0a199d3a4327,Gerson Marthen Lumanauw,https://play-lh.googleusercontent.com/a/ACg8ocII_OHATJn5Ex1H6yo5V9lh4rcWQ-SCj-jUwKg6GbSIS4oOfA=mo,"Buruk banget pelayanannya, masa mau klik foto saja gagal, mau diulang kudu nunggu 12 jam, gila bener, mau bawa orang tua kesana ga bisa bisa, apakah layanan ini hanya dapat digunakan bagian travel saja. Kayak orang sulit ekonomi ga bisa ngeklik foto, kalau memang IKN ga bisa dinikmati tutup aja, ga penting",1,1,,2024-12-25 17:18:57,,,
